asset_group,bucket,vm_shard,total_rows,v8_rows,v_lt_8_rows,null_rows,schema_versions_seen
cefi,instruments-store-cefi-prd-central-element-323112,local_coinbase_spot_20260504-213833_a5fed6.parquet,13,0,13,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260311_dae07c.parquet,13,0,13,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260312_ae4874.parquet,13,0,13,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-es-light-2024-20260430-031405.parquet,13,0,13,0,6
cefi,instruments-store-cefi-prd-central-element-323112,local_okx_spot_20260504-213833_56cb6b.parquet,12,0,12,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2021-heavy-20260506-175823.parquet,12,0,12,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20251211_0da61e.parquet,12,0,12,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260302_bb8112.parquet,12,0,12,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260326_cb3dc5.parquet,12,0,12,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260406_858b5e.parquet,12,0,12,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260407_c5b684.parquet,12,0,12,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260409_1ec320.parquet,12,0,12,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260410_b076c7.parquet,12,0,12,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_smoke_04fbe0.parquet,12,0,12,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-btc-light-2025-20260430-030949.parquet,12,0,12,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,opt-deribit-2025.parquet,11,0,11,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20251216_825d5f.parquet,11,0,11,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20251218_1bfbad.parquet,11,0,11,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20251224_c134c1.parquet,11,0,11,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260217_3758b8.parquet,11,0,11,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260303_c84491.parquet,11,0,11,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260304_e783fd.parquet,11,0,11,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260305_3ab16a.parquet,11,0,11,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260306_6da2a4.parquet,11,0,11,0,6
prediction,market-data-tick-pred-prd-central-element-323112,prediction-fwd-20260428-200733.parquet,11,0,11,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-btc-2024-20260505-082706.parquet,11,0,11,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2025-xrp-usd--20260506-212742.parquet,10,0,10,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2026-btc-usd--20260506-212742.parquet,10,0,10,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-kraken-futures-2026-light-20260504-194434.parquet,10,0,10,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-okx-spot-2023-heavy-20260506-150808.parquet,10,0,10,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-okx-spot-2025-heavy-20260506-150808.parquet,10,0,10,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260228_fb16c7.parquet,10,0,10,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260403_3f7f73.parquet,10,0,10,0,6
tradfi,market-data-tick-tradfi-prd-central-element-323112,tradfi-bf-btc-heavy-2024-06-20260430-023121.parquet,10,0,10,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2025-heavy-20260506-181122.parquet,9,0,9,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2026-heavy-20260506-150808.parquet,9,0,9,0,6
cefi,market-data-tick-cefi-prd-central-element-323112,cefi-coinbase-spot-2026-heavy-20260506-173224.parquet,9,0,9,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20251020_a4da4e.parquet,9,0,9,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20251021_52dd97.parquet,9,0,9,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20251113_42c0a0.parquet,9,0,9,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260131_bd48f1.parquet,9,0,9,0,6
prediction,instruments-store-pred-prd-central-element-323112,local_predict_20260224_191516.parquet,9,0,9,0,6
prediction,market-data-tick-pred-prd-central-element-323112,mdps-backfill-prediction-20260429-025114.parquet,9,0,9,0,6
prediction,market-data-tick-pred-prd-central-element-323112,mdps-prediction-2025-20260501-182627.parquet,9,0,9,0,6
prediction,market-data-tick-pred-prd-central-element-323112,mdps-prediction-2026-20260501-182627.parquet,9,0,9,0,6
